category,specification,data_basis,income_measure,liquidity_measure,profile_year,sample_end_year,pass_count,passing_evaluations,K_Y_h8,K_G_h8,dsa_margin_2036_cut_pp,direct_dy_margin_2036_cut_pp,dsa_margin_2036_expansion_pp,direct_dy_margin_2036_expansion_pp,note
Reference baseline,Reference baseline specification,Baseline input set,Original income construction,Household credit-access proxy,2024,2024,2,investment import content + baseline comparison evaluation,2.149970968,0.748297990,6.371492666,4.891678068,-5.807471128,-4.891678068,Comparison row for the baseline specification.
Reference calculation,Current control calculation,Control inputs retained for comparison,Original income construction,Household credit-access proxy,2024,2024,2,investment import content + baseline comparison evaluation,2.148643156,0.747971739,6.352575237,4.886581685,-5.789236145,-4.886581685,Control row used to check that the public package reproduces the comparison family.
Manuscript specification,"Investment import content, real PPP income and household net financial worth",Official OECD TiVA GFCF import-content source with Eurostat financial accounts,Real GDP per capita in PPP terms,Household net financial worth,2022,2022,2,investment import content + household net financial worth,1.998104779,0.720018505,5.696884465,3.019450731,-5.367087202,-3.019450731,Manuscript-facing specification.
Diagnostic check,Investment import content and household net financial worth with the earlier income construction,Official OECD TiVA GFCF import-content source with Eurostat financial accounts,Earlier income construction,Household net financial worth,2022,2022,2,investment import content + household net financial worth,1.998104779,0.720018505,5.696884465,3.019450731,-5.367087202,-3.019450731,Shows sensitivity to the income-state definition while keeping the import-content and net-worth measures.
Diagnostic check,Investment import content and real PPP income with the earlier credit-access proxy,Official OECD TiVA GFCF import-content source,Real GDP per capita in PPP terms,Household credit-access proxy,2022,2022,2,investment import content + earlier credit-access proxy evaluation,0.632502119,0.683652469,-4.419817997,2.327568053,4.747987712,-2.327568053,Shows sensitivity to the earlier household credit-access proxy.
Diagnostic check,FIGARO-based import-content approximation with real PPP income and net financial worth,FIGARO 2023 import-content approximation,Real GDP per capita in PPP terms,Household net financial worth,2023,2023,1,household net financial worth,2.114703444,0.746125764,6.247806441,4.118006860,-5.852717416,-4.118006860,Uses a newer FIGARO-based source for the import-content state; it is not the adopted manuscript source.
Diagnostic check,Mechanical 2024 carry-forward with real PPP income and net financial worth,Official OECD TiVA carried forward mechanically to 2024,Real GDP per capita in PPP terms,Household net financial worth,2024,2024,2,investment import content + household net financial worth,1.964343676,0.720104763,5.480565861,2.879434098,-5.158074478,-2.879434098,Mechanical carry-forward beyond official OECD TiVA coverage; it is not the adopted manuscript source.
Diagnostic check,Investment import content and real PPP income with cash plus transferable deposits,Official OECD TiVA GFCF import-content source with Eurostat financial accounts,Real GDP per capita in PPP terms,Cash plus transferable household deposits,2022,2022,1,investment import content,1.838266012,0.694029346,4.890650642,1.729581956,-4.636256608,-1.729581956,Uses a narrower liquidity measure; it is not the adopted manuscript specification.
