Horizon,Investment import content,Household balance-sheet fragility,Equal weight average
0,1.39,1.19,1.29
1,2.27,2.24,2.26
2,2.76,2.93,2.85
3,2.70,2.75,2.73
4,2.34,2.32,2.33
5,2.04,2.38,2.22
6,2.23,2.40,2.32
7,2.42,2.54,2.48
8,2.65,2.89,2.78
